VoxCeleb1 ID	VGGFace1 ID	Gender	Nationality	Set
id10001	A.J._Buckley	m	Ireland	dev
id10002	A.R._Rahman	m	India	dev
id10003	Aamir_Khan	m	India	dev
id10004	Aaron_Tveit	m	USA	dev
id10005	Aaron_Yoo	m	USA	dev
id10006	Abbie_Cornish	f	Australia	dev
id10007	Abigail_Breslin	f	USA	dev
id10008	Abigail_Spencer	f	USA	dev
id10009	Adam_Beach	m	Canada	dev
id10010	Adam_Brody	m	USA	dev
id10011	Adam_Copeland	m	Canada	dev
id10012	Adam_Driver	m	USA	dev
id10013	Adrianne_Curry	f	USA	dev
id10014	Adrianne_Palicki	f	USA	dev
id10015	Agyness_Deyn	f	UK	dev
id10016	Aidan_Turner	m	Ireland	dev
id10017	Ajay_Devgn	m	India	dev
id10018	Akshay_Kumar	m	India	dev
id10019	Alain_Delon	m	Norway	dev
id10020	Alan_Alda	m	USA	dev
id10021	Alan_Cumming	m	UK	dev
id10022	Alan_Rickman	m	UK	dev
id10023	Alan_Tudyk	m	USA	dev
id10024	Alba_Rohrwacher	f	Italy	dev
id10025	Aldis_Hodge	m	USA	dev
id10026	Alex_Borstein	f	USA	dev
id10027	Alex_Kingston	f	UK	dev
id10028	Alex_Pettyfer	m	UK	dev
id10029	Alex_Trebek	m	USA	dev
id10030	Alexa_Davalos	f	Norway	dev
id10031	Alexander_Siddig	m	Sudan	dev
id10032	Alexandra_Daddario	f	USA	dev
id10033	Alexandra_Roach	f	UK	dev
id10034	Alexz_Johnson	f	Canada	dev
id10035	Alfre_Woodard	f	USA	dev
id10036	Alice_Eve	f	UK	dev
id10037	Alicja_Bachleda	f	Mexico	dev
id10038	Alison_Arngrim	f	USA	dev
id10039	Alison_Pill	f	Canada	dev
id10040	Allison_Williams	f	USA	dev
id10041	Amanda_Seyfried	f	USA	dev
id10042	Amaury_Nolasco	m	USA	dev
id10043	Amber_Riley	f	USA	dev
id10044	America_Ferrera	f	USA	dev
id10045	Amitabh_Bachchan	m	India	dev
id10046	Amy_Poehler	f	USA	dev
id10047	Amy_Schumer	f	USA	dev
id10048	Ana_Gasteyer	f	USA	dev
id10049	Andre_Braugher	m	USA	dev
id10050	Andrea_Riseborough	f	UK	dev
id10051	Andrew_Dice_Clay	m	USA	dev
id10052	Andrew_Garfield	m	USA	dev
id10053	Andrew_Lee_Potts	m	UK	dev
id10054	Andrew_Rannells	m	USA	dev
id10055	Andrew_Scott	m	Ireland	dev
id10056	Andy_Richter	m	USA	dev
id10057	Andy_Samberg	m	USA	dev
id10058	Aneurin_Barnard	m	UK	dev
id10059	Ang_Lee	m	USA	dev
id10060	Angela_Kinsey	f	USA	dev
id10061	Anne_Hathaway	f	USA	dev
id10062	Ansel_Elgort	m	USA	dev
id10063	Anthony_Anderson	m	USA	dev
id10064	Anthony_Mackie	m	USA	dev
id10065	Anthony_Rapp	m	USA	dev
id10066	Anton_Yelchin	m	USA	dev
id10067	Antonio_Cupo	m	Canada	dev
id10068	Arden_Cho	f	USA	dev
id10069	Armand_Assante	m	USA	dev
id10070	Armie_Hammer	m	USA	dev
id10071	Asa_Butterfield	m	UK	dev
id10072	Ashley_Greene	f	USA	dev
id10073	Ashley_Jensen	f	UK	dev
id10074	Audra_McDonald	f	USA	dev
id10075	Audrina_Patridge	f	USA	dev
id10076	Avan_Jogia	m	Canada	dev
id10077	B.J._Novak	m	USA	dev
id10078	Barbara_Eden	f	USA	dev
id10079	Barbara_Hershey	f	USA	dev
id10080	Bear_Grylls	m	UK	dev
id10081	Bellamy_Young	f	USA	dev
id10082	Ben_Feldman	m	USA	dev
id10083	Ben_McKenzie	m	USA	dev
id10084	Ben_Stiller	m	USA	dev
id10085	Ben_Whishaw	m	UK	dev
id10086	Beth_Grant	f	USA	dev
id10087	Bethany_Mota	f	USA	dev
id10088	Betty_White	f	USA	dev
id10089	Bill_Nighy	m	UK	dev
id10090	Bill_Pullman	m	USA	dev
id10091	Billie_Joe_Armstrong	m	USA	dev
id10092	Bingbing_Li	f	China	dev
id10093	Blair_Underwood	m	USA	dev
id10094	Blake_Michael	m	USA	dev
id10095	Blake_Shelton	m	USA	dev
id10096	Bob_Barker	m	USA	dev
id10097	Bobby_Cannavale	m	USA	dev
id10098	Bonnie_Wright	f	UK	dev
id10099	Booboo_Stewart	m	USA	dev
id10100	Brad_Paisley	m	USA	dev
id10101	Bradley_Steven_Perry	m	USA	dev
id10102	Breckin_Meyer	m	USA	dev
id10103	Brenda_Blethyn	f	UK	dev
id10104	Brendan_Gleeson	m	Ireland	dev
id10105	Brett_Davern	m	USA	dev
id10106	Brian_Blessed	m	UK	dev
id10107	Brian_Cox	m	UK	dev
id10108	Brian_Dennehy	m	USA	dev
id10109	Bridget_Moynahan	f	USA	dev
id10110	Bridget_Regan	f	USA	dev
id10111	Brit_Marling	f	USA	dev
id10112	Brooke_Burke-Charvet	f	USA	dev
id10113	Bruce_Boxleitner	m	USA	dev
id10114	Bruno_Ganz	m	Switzerland	dev
id10115	Bruno_Mars	m	USA	dev
id10116	Burt_Reynolds	m	USA	dev
id10117	CCH_Pounder	f	Guyana	dev
id10118	Caitriona_Balfe	f	Ireland	dev
id10119	Caity_Lotz	f	USA	dev
id10120	Callan_McAuliffe	m	Australia	dev
id10121	Callie_Thorne	f	USA	dev
id10122	Cameron_Boyce	m	USA	dev
id10123	Candace_Cameron_Bure	f	USA	dev
id10124	Candice_Accola	f	USA	dev
id10125	Candice_Patton	f	USA	dev
id10126	Caroline_Rhea	f	Canada	dev
id10127	Carolyn_Hennesy	f	USA	dev
id10128	Carrie_Ann_Inaba	f	USA	dev
id10129	Carrie_Fisher	f	USA	dev
id10130	Carrie_Underwood	f	USA	dev
id10131	Casey_Affleck	m	USA	dev
id10132	Casey_Wilson	f	USA	dev
id10133	Cassandra_Peterson	f	USA	dev
id10134	Caterina_Murino	f	Italy	dev
id10135	Caterina_Scorsone	f	Canada	dev
id10136	Catherine_Hardwicke	f	USA	dev
id10137	Cedric_the_Entertainer	m	USA	dev
id10138	Celia_Imrie	f	UK	dev
id10139	Chace_Crawford	m	USA	dev
id10140	Chadwick_Boseman	m	USA	dev
id10141	Charice	f	Philippines	dev
id10142	Charles_Dance	m	UK	dev
id10143	Charles_S._Dutton	m	USA	dev
id10144	Charlie_Day	m	USA	dev
id10145	Charlotte_Gainsbourg	f	UK	dev
id10146	Chazz_Palminteri	m	USA	dev
id10147	Chelsea_Handler	f	USA	dev
id10148	Cher	f	USA	dev
id10149	Cheryl_Ladd	f	USA	dev
id10150	Chi_McBride	m	USA	dev
id10151	Chiwetel_Ejiofor	m	UK	dev
id10152	Chloe_Bennet	f	USA	dev
id10153	Chloe_Dykstra	f	USA	dev
id10154	Chris_Colfer	m	USA	dev
id10155	Chris_Hemsworth	m	Australia	dev
id10156	Chris_Lowell	m	USA	dev
id10157	Chris_Martin	m	UK	dev
id10158	Chris_Messina	m	USA	dev
id10159	Chris_Pine	m	USA	dev
id10160	Christian_Kane	m	USA	dev
id10161	Christina_Hendricks	f	USA	dev
id10162	Christina_Ricci	f	USA	dev
id10163	Christopher_Mintz-Plasse	m	USA	dev
id10164	Cierra_Ramirez	f	USA	dev
id10165	Cilla_Black	f	UK	dev
id10166	Cillian_Murphy	m	Ireland	dev
id10167	Cindy_Williams	f	USA	dev
id10168	Claudia_Black	f	Australia	dev
id10169	Claudia_Lee	f	USA	dev
id10170	Cliff_Curtis	m	New Zealand	dev
id10171	Clive_Owen	m	UK	dev
id10172	Colin_Donnell	m	USA	dev
id10173	Constance_Zimmer	f	USA	dev
id10174	Corbin_Bleu	m	USA	dev
